",",COLLEGE NAME, WEBSITE,ADRESS
312,"Great Lakes Institute Of Management, Gurgaon",https://www.greatlakes.edu.in/gurgaon/,
313,Gudlavalleru College of Engineering & Technology,http://gecgudlavalleru.ac.in/,
314,Guntur Medical College,http://gunturmedicalcollege.edu.in/,
315,"Guru Nanak Dev Dental College And Research Institute, Sunam",https://www.gnddentalcollege.com/,
316,"Guru Raghavendra Institute of Pharmaceutical Sciences, Vizianagaram",null,
317,"Guru Teg Bahadur Khalsa Institute Of Engineering & Technology GTBKIET, Muktsar",https://gtb.org.in/,
318,"Gurukul Institute, Raipur",http://www.gurukulinstitute.org/,
319,"GVMs Dr Dada Vaidya College Of Education, Ponda",https://www.gvmcollege.com/,
320,"GVRS Institute for Professional Studies, Guntur",http://www.gvrseduinst.com/,
321,"Hakim Syed Ziaul Hasan Government Unani Medical College & Hospital, Bhopal",http://gumcbhopal.in/,
322,"Hartmann College, Bareilly",http://www.hartmanncollege.org.in/,
323,"Harvard College of Pharmacy, East Godavari",null,
324,"Haryana College Of Education HCE, Jind",http://hcek.org.in/,
325,"Hawabagh Womens College, Jabalpur",https://hawabaghcollege.com/,
326,"Hayagriva Polytechnic College, Puducherry",http://hayagrivapolytechnic.com/,
327,"Hazaribag College Of Dental Science And Hospital HCDSH, Hazaribagh",https://hcdsh.edu.in/,
328,"Higher And Technical Institute Of Mizoram HATIM, Lunglei",https://hatim.ac.in/,
329,"Hill College, Tadubi",https://hillcollegetadubi.nic.in/,
330,"Hills College Of Teacher Education HCTE, Naharlagun",https://www.hcte.org/,
331,"Him Education Pvt ITI, Shoghi",https://himeducationitishoghi.com/,
332,"Himalayan Pharmacy Institute, East Sikkim",http://www.hpi.ac.in/,
333,"Himalayan Pharmacy Institute, Majitar",http://www.hpi.ac.in/,
334,"Himalayan School of Science & Technology (HSST), Dehradun",https://srhu.edu.in/himalayan-school-of-science-and-technology,
335,"Hindu College for Post Graduation, Guntur",null,
336,"Hindu College Of Engineering, Sonepat",http://hcesonepat.org/hce/,
337,"Hindu College, Guntur",http://www.hcg.ac.in/,
338,"Hindustan College Of Engineering, Chennai",https://hindustanuniv.ac.in/,
339,"Hislop College, Nagpur",http://www.hislopcollege.ac.in/,
340,"Holy Cross College Of Nursing, Ambikapur",http://www.holycrossnursingcollege.org/,
341,"Holy Cross College, Agartala",https://www.holycrosscollege.in/,
342,"Holy Family College of Nursing, New Delhi",https://www.hfcondelhi.edu.in/,
343,"Holy Grace Academy Of Management Studies, Thrissur",http://www.holygracebschool.org/,
344,"Hotel Hospitality Pvt Industrial Training Institute, Hamirpur",https://www.hhiti.com/,
345,"Ideal Girls College, Imphal",http://www.igcakampat.ac.in/,
346,"IFIM Law School, Bangalore",https://ifimlawcollege.com/index.html,
347,"Immaculate College Of Education For Women, Puducherry",https://www.icepdy.org/,
348,"Immanuel College, Dimapur",http://immanuelcollege.in/,
349,"Imperial Institute Of Polytechnic & Technology, Jaipur",http://www.iipt.edu.in/,
350,"Indian Institute Of Carpet Technology IICT, Bhadohi",https://www.iict.ac.in/,
351,"Indian Institute Of Gemology, New Delhi",http://www.iigdelhi.org/,
352,"Indian Institute of Gems & Jewellery, New Delhi",http://iigjdelhi.org/,
353,"Indian Institute Of Management (IIM), Rohtak",https://www.iimrohtak.ac.in/,
354,"Indian Institute of Public Health (IIPH), Hyderabad",https://phfi.org/,
355,"Indian Institute of Science Education and Research (IISER), Tirupati",http://www.iisertirupati.ac.in/,
356,"Indian Institute Of Technology (IIT), Bombay",http://www.iitb.ac.in/,
